#ZVView-data-copy:   9-Jul-2018 12:08:10
#=======================================
#
#name:   ENDF/B-VIII.0: H-3(D,N`)HE-4-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  375
#data...
#            X            Y
#          MeV        barns
    0.00911931  0.000970152
    0.00927164   0.00107918
    0.00940108   0.00117887
    0.00954736   0.00129968
     0.0097006   0.00143594
    0.00980648   0.00153614
    0.00993507   0.00166472
     0.0100597   0.00179705
     0.0102259   0.00198564
     0.0104023   0.00220145
     0.0105486   0.00239317
     0.0107076   0.00261517
     0.0108528   0.00283066
         0.011     0.003062
     0.0111733   0.00335274
     0.0113205    0.0036149
     0.0114867   0.00392837
     0.0116674   0.00429108
     0.0118881   0.00476572
     0.0120579   0.00515644
     0.0122261   0.00556673
     0.0124349   0.00610789
     0.0126206   0.00661936
     0.0128629   0.00733144
     0.0131208   0.00814677
     0.0133353   0.00887128
      0.013569   0.00971036
     0.0137828    0.0105248
         0.014     0.011399
     0.0142356    0.0124105
     0.0145377    0.0137947
     0.0147954    0.0150559
     0.0150878    0.0165785
     0.0153108    0.0178076
     0.0156516    0.0198007
         0.016     0.021986
     0.0163422    0.0243034
     0.0166343    0.0264037
     0.0169657    0.0289269
     0.0173281    0.0318598
     0.0176608    0.0347161
         0.018     0.037791
       0.01845    0.0421749
     0.0188259    0.0460733
     0.0192371    0.0505896
     0.0197424    0.0565051
          0.02     0.059678
     0.0204823    0.0659741
     0.0208516    0.0710597
     0.0214181    0.0793108
         0.022     0.088359
      0.022668    0.0995979
      0.023135     0.107932
     0.0237081     0.118699
     0.0242413     0.129308
     0.0248553     0.142261
     0.0256127     0.159214
      0.026242     0.174191
     0.0268568     0.189671
     0.0276136     0.209727
     0.0282425     0.227316
     0.0292338      0.25683
          0.03      0.28096
         0.035      0.47073
          0.04      0.71636
         0.045       1.0173
          0.05       1.3702
         0.055       1.7686
          0.06       2.2021
          0.07       3.1134
         0.075       3.5535
          0.08       3.9571
         0.085       4.3068
          0.09       4.5902
         0.095       4.8005
           0.1        4.937
         0.102       4.9718
         0.104       4.9959
         0.108       5.0142
         0.112       4.9969
         0.114       4.9766
          0.12       4.8769
         0.125       4.7592
          0.13       4.6194
          0.14       4.3027
          0.15       3.9704
          0.16       3.6475
          0.17       3.3465
          0.18       3.0723
          0.19       2.8256
           0.2       2.6051
          0.22       2.2332
          0.24       1.9369
          0.26       1.6985
          0.28       1.5046
           0.3       1.3448
          0.32       1.2116
          0.34       1.0994
          0.36       1.0039
          0.38      0.92182
           0.4      0.85074
          0.42       0.7887
          0.44       0.7342
          0.46        0.686
          0.48      0.64315
           0.5      0.60485
          0.55      0.52504
           0.6      0.46249
          0.65       0.4124
           0.7      0.37157
          0.75      0.33778
           0.8      0.30944
          0.85      0.28541
           0.9      0.26483
          0.95      0.24705
             1      0.23158
           1.1      0.20607
           1.2      0.18603
           1.3      0.16999
           1.4      0.15695
           1.5       0.1462
           1.6      0.13725
           1.7      0.12971
           1.8      0.12333
           1.9      0.11788
             2       0.1132
           2.1      0.10916
           2.2      0.10567
           2.3      0.10263
           2.4     0.099995
           2.5     0.097697
           2.6     0.095695
           2.7     0.093952
           2.8     0.092438
             3     0.089992
           3.2     0.088184
           3.4     0.086877
           3.6     0.085975
           3.8     0.085262
           4.8     0.081523
           5.2     0.079509
           5.8     0.075695
           6.6     0.070442
             7     0.067979
             8     0.061234
           8.5     0.058278
             9      0.05568
           9.5     0.053365
            10     0.051372
            11     0.047773
          11.4     0.046531
            12     0.044817
         12.75     0.042837
         13.36     0.041536
          13.5     0.041155
            15     0.038398
          16.5     0.036127
            18     0.034278
            19     0.033226
            20     0.032297
          22.5     0.030399
            24     0.029494
            25     0.028973
          27.5     0.027892
            30     0.027062
//
#-------------------------------------------------------------------------------

