#ZVView-data-copy:  30-Mar-2021 13:58:33
#=======================================
#
#name:   ENDF/B-VIII.0: H-3(T,2N)HE-4
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  298
#data...
#            X            Y
#          MeV        barns
       0.03481   0.00102642 
     0.0359625   0.00115217 
      0.036932   0.00126397 
     0.0379997   0.00139338 
     0.0393218    0.0015626 
          0.04    0.0016532 
     0.0415169   0.00183791 
     0.0429592   0.00202548 
     0.0442971   0.00221019 
     0.0455614   0.00239445 
     0.0471565   0.00264077 
     0.0485979     0.002877 
     0.0505125   0.00321138 
     0.0516111   0.00341414 
     0.0535914   0.00380025 
     0.0557132   0.00424422 
     0.0572078    0.0045763 
     0.0590545   0.00500928 
          0.06    0.0052409 
     0.0631831   0.00587377 
     0.0659767   0.00646183 
     0.0692334   0.00718626 
     0.0717809   0.00778241 
     0.0757791   0.00877061 
          0.08    0.0098843 
     0.0863779    0.0113474 
     0.0910157    0.0124673 
     0.0969108    0.0139581 
           0.1     0.014769 
      0.109545    0.0169569 
          0.12     0.019469 
      0.134707    0.0226387 
          0.14     0.023806 
          0.16      0.02773 
          0.18     0.031253 
           0.2     0.034408 
          0.22     0.037241 
          0.24     0.039793 
          0.26     0.042105 
          0.28     0.044212 
           0.3     0.046145 
          0.35     0.050377 
           0.4     0.053985 
          0.45      0.05718 
      0.524404    0.0614636 
      0.648074    0.0680301 
           0.8     0.075838 
           0.9     0.081176 
             1     0.086742 
       1.14891    0.0955366 
       1.34907     0.107944 
       1.54919     0.120348 
       1.64924      0.12611 
           1.7       0.1289 
           1.8       0.1337 
           1.9      0.13752 
             2      0.14013 
           2.1      0.14135 
           2.2      0.14106 
           2.3      0.13928 
           2.4      0.13608 
           2.5      0.13165 
       2.60914     0.123334 
        2.7018     0.116934 
       2.80474     0.110445 
       2.93345     0.103131 
             3     0.099658 
       3.08426     0.093281 
        3.1566    0.0882586 
       3.23915     0.082983 
          3.33      0.07768 
       3.41394    0.0731977 
           3.5     0.068974 
       3.61881    0.0645991 
       3.74556    0.0603779 
        3.8889    0.0560869 
             4      0.05307 
       4.16364    0.0497395 
       4.30574    0.0471133 
        4.4697    0.0443515 
       4.65231    0.0415718 
       4.82302    0.0392193 
             5        0.037 
       5.31163    0.0346623 
       5.58732    0.0328196 
       5.91122    0.0308826 
       6.26492    0.0290048 
       6.51814    0.0277903 
       6.83555    0.0263999 
             7     0.025731 
       7.46332     0.024415 
       7.87459    0.0233655 
       8.35932    0.0222497 
       8.91183    0.0211133 
       9.44025    0.0201402 
            10     0.019212 
        11.941    0.0185988 
       13.9019    0.0180887 
            15     0.017839 
       18.6121    0.0173447 
            20     0.017183 
//
#-------------------------------------------------------------------------------
