#ZVView-data-copy:  30-Mar-2021 14:35:22
#=======================================
#
#name:   ENDF/B-VII.1: HE-3(T,N+P)HE-4
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  259
#data...
#            X            Y
#          MeV        barns
      0.149823   0.00121538 
      0.155556   0.00138058 
      0.162373   0.00158825 
      0.166611   0.00172308 
      0.171274   0.00188026 
      0.177043   0.00208792 
          0.18    0.0022002 
      0.186639   0.00244668 
      0.191305   0.00263038 
      0.197059   0.00286912 
      0.208516   0.00335853 
      0.216103   0.00370347 
      0.229783   0.00434837 
      0.244851   0.00510309 
      0.254849   0.00562174 
       0.27486   0.00670087 
       0.29487   0.00782326 
           0.3    0.0081221 
      0.311787   0.00877444 
      0.330341   0.00985249 
          0.35     0.011063 
      0.374166    0.0124785 
           0.4     0.014075 
      0.436943    0.0162712 
          0.45     0.017077 
      0.487002    0.0192384 
           0.5     0.020018 
          0.55     0.022865 
           0.6     0.025597 
           0.7     0.030666 
           0.8     0.035178 
           0.9     0.039131 
             1     0.042544 
           1.1      0.04545 
           1.2      0.04789 
           1.3     0.049907 
           1.4     0.051544 
           1.5     0.052848 
           1.6     0.053861 
           1.7     0.054623 
           1.8     0.055175 
       1.94936    0.0556634 
       2.14942       0.0559 
           2.2      0.05591 
           2.5     0.055629 
             3     0.054987 
           3.5     0.055309 
             4     0.055981 
           4.5     0.054486 
       5.47723    0.0523599 
       6.48074    0.0504905 
       7.48331    0.0488803 
       8.48528    0.0475058 
       9.48683    0.0463435 
       10.4881    0.0453698 
            12     0.044197 
       13.4907    0.0433453 
       15.4919    0.0425061 
            20     0.041028 
//
#-------------------------------------------------------------------------------
