# This file produced from the IAEA-NDS ENDF servlet (tabulated cross section, pointwise output, Lin-Lin interpolation).
#LIBRARY    ENDF/B-VI
#REACTION   HE-3(D,P)HE-4,SIG
#NUCLEUS    He-3
#MF         3
#MT         103
#EN-MIN     1187.5
#EN-MAX     3e+07
#E,eV        Sig,b
1.95310e-03 1.38735E-24
1.95810e-03 1.50085E-24
1.96310e-03 1.62314E-24
1.96810e-03 1.75486E-24
1.97310e-03 1.89671E-24
1.97810e-03 2.04941E-24
1.98310e-03 2.21375E-24
1.98810e-03 2.39056E-24
1.99310e-03 2.58073E-24
1.99910e-03 2.82794E-24
2.00510e-03 3.09753E-24
2.01110e-03 3.39143E-24
2.01710e-03 3.7117E-24
2.02310e-03 4.06056E-24
2.02910e-03 4.44042E-24
2.03510e-03 4.85387E-24
2.04110e-03 5.30371E-24
2.04710e-03 5.79296E-24
2.05310e-03 6.32486E-24
2.05910e-03 6.90292E-24
2.06510e-03 7.53091E-24
2.07110e-03 8.21289E-24
2.07710e-03 8.95322E-24
2.08310e-03 9.7566E-24
2.08910e-03 1.0628E-23
2.09510e-03 1.15731E-23
2.10110e-03 1.25975E-23
2.10710e-03 1.37075E-23
2.11310e-03 1.491E-23
2.11910e-03 1.62121E-23
2.12510e-03 1.76215E-23
2.13110e-03 1.91467E-23
2.13710e-03 2.07965E-23
2.14310e-03 2.25805E-23
2.14910e-03 2.45091E-23
2.15510e-03 2.65931E-23
2.16110e-03 2.88444E-23
2.16710e-03 3.12756E-23
2.17310e-03 3.39003E-23
2.17910e-03 3.67328E-23
2.18510e-03 3.97887E-23
2.19110e-03 4.30845E-23
2.19810e-03 4.72565E-23
2.20510e-03 5.18095E-23
2.21210e-03 5.67759E-23
2.21910e-03 6.21912E-23
2.22610e-03 6.80934E-23
2.23310e-03 7.45235E-23
2.24010e-03 8.1526E-23
2.24710e-03 8.91485E-23
2.25410e-03 9.74427E-23
2.26110e-03 1.06464E-22
2.26810e-03 1.16272E-22
2.27510e-03 1.26931E-22
2.28210e-03 1.38512E-22
2.28910e-03 1.51087E-22
2.29610e-03 1.64738E-22
2.30310e-03 1.7955E-22
2.31010e-03 1.95617E-22
2.31710e-03 2.13038E-22
2.32410e-03 2.3192E-22
2.33110e-03 2.52377E-22
2.33810e-03 2.74534E-22
2.34510e-03 2.98522E-22
2.35210e-03 3.24482E-22
2.35910e-03 3.52568E-22
2.36610e-03 3.82942E-22
2.37310e-03 4.15779E-22
2.38010e-03 4.51266E-22
2.38710e-03 4.89603E-22
2.39410e-03 5.31005E-22
2.40110e-03 5.757E-22
2.40910e-03 6.3113E-22
2.41710e-03 6.91577E-22
2.42510e-03 7.57466E-22
2.43310e-03 8.29255E-22
2.44110e-03 9.07439E-22
2.44910e-03 9.92551E-22
2.45710e-03 1.08516E-21
2.46510e-03 1.18589E-21
2.47310e-03 1.29541E-21
2.48110e-03 1.41443E-21
2.48910e-03 1.54373E-21
2.49710e-03 1.68412E-21
2.50510e-03 1.83651E-21
2.51310e-03 2.00184E-21
2.52110e-03 2.18116E-21
2.52910e-03 2.37556E-21
2.53710e-03 2.58622E-21
2.54510e-03 2.81443E-21
2.55310e-03 3.06153E-21
2.56110e-03 3.32901E-21
2.56910e-03 3.61842E-21
2.57710e-03 3.93144E-21
2.58510e-03 4.26987E-21
2.59410e-03 4.68339E-21
2.60310e-03 5.13446E-21
2.61210e-03 5.62627E-21
2.62110e-03 6.16224E-21
2.63010e-03 6.74607E-21
2.63910e-03 7.38176E-21
2.64810e-03 8.07359E-21
2.65710e-03 8.82618E-21
2.66610e-03 9.64453E-21
2.67510e-03 1.05339E-20
2.68410e-03 1.15002E-20
2.69310e-03 1.25495E-20
2.70210e-03 1.36886E-20
2.71110e-03 1.49244E-20
2.72010e-03 1.62648E-20
2.72910e-03 1.77179E-20
2.73810e-03 1.92926E-20
2.74710e-03 2.09983E-20
2.75610e-03 2.28452E-20
2.76510e-03 2.48442E-20
2.77410e-03 2.7007E-20
2.78310e-03 2.93459E-20
2.79310e-03 3.21677E-20
2.80310e-03 3.52433E-20
2.81310e-03 3.85939E-20
2.82310e-03 4.22424E-20
2.83310e-03 4.62134E-20
2.84310e-03 5.05334E-20
2.85310e-03 5.52309E-20
2.86310e-03 6.03365E-20
2.87310e-03 6.58833E-20
2.88310e-03 7.19067E-20
2.89310e-03 7.84447E-20
2.90310e-03 8.55381E-20
2.91310e-03 9.32308E-20
2.92310e-03 1.01569E-19
2.93310e-03 1.10605E-19
2.94310e-03 1.20392E-19
2.95310e-03 1.30987E-19
2.96410e-03 1.4365E-19
2.97510e-03 1.57455E-19
2.98610e-03 1.72499E-19
2.99710e-03 1.88883E-19
3.00810e-03 2.0672E-19
3.01910e-03 2.26127E-19
3.03010e-03 2.47234E-19
3.04110e-03 2.70179E-19
3.05210e-03 2.95109E-19
3.06310e-03 3.22184E-19
3.07410e-03 3.51575E-19
3.08510e-03 3.83466E-19
3.09610e-03 4.18053E-19
3.10710e-03 4.55548E-19
3.11810e-03 4.96177E-19
3.12910e-03 5.40183E-19
3.14110e-03 5.92346E-19
3.15310e-03 6.492E-19
3.16510e-03 7.11134E-19
3.17710e-03 7.78569E-19
3.18910e-03 8.51956E-19
3.20110e-03 9.31782E-19
3.21310e-03 1.01856E-18
3.22510e-03 1.11287E-18
3.23710e-03 1.21531E-18
3.24910e-03 1.32651E-18
3.26110e-03 1.44718E-18
3.27310e-03 1.57806E-18
3.28510e-03 1.71995E-18
3.29710e-03 1.87371E-18
3.31010e-03 2.05472E-18
3.32310e-03 2.25199E-18
3.33610e-03 2.46686E-18
3.34910e-03 2.70077E-18
3.36210e-03 2.95529E-18
3.37510e-03 3.23208E-18
3.38810e-03 3.53295E-18
3.40110e-03 3.85983E-18
3.41410e-03 4.21479E-18
3.42710e-03 4.60005E-18
3.44010e-03 5.018E-18
3.45310e-03 5.4712E-18
3.46710e-03 6.00182E-18
3.48110e-03 6.58018E-18
3.49510e-03 7.21022E-18
3.50910e-03 7.89619E-18
3.52310e-03 8.64268E-18
3.53710e-03 9.45458E-18
3.55110e-03 1.03371E-17
3.56510e-03 1.12961E-17
3.57910e-03 1.23375E-17
3.59310e-03 1.34678E-17
3.60710e-03 1.46942E-17
3.62110e-03 1.60239E-17
3.63610e-03 1.75725E-17
3.65110e-03 1.92597E-17
3.66610e-03 2.10968E-17
3.68110e-03 2.3096E-17
3.69610e-03 2.52706E-17
3.71110e-03 2.76346E-17
3.72610e-03 3.02031E-17
3.74110e-03 3.29925E-17
3.75610e-03 3.60201E-17
3.77110e-03 3.93046E-17
3.78710e-03 4.31139E-17
3.80310e-03 4.72643E-17
3.81910e-03 5.17838E-17
3.83510e-03 5.67026E-17
3.85110e-03 6.20529E-17
3.86710e-03 6.78694E-17
3.88310e-03 7.41894E-17
3.89910e-03 8.10528E-17
3.91510e-03 8.85024E-17
3.93210e-03 9.71111E-17
3.94910e-03 1.06492E-16
3.96610e-03 1.16709E-16
3.98310e-03 1.2783E-16
4.00010e-03 1.39928E-16
4.01710e-03 1.53082E-16
4.03410e-03 1.67376E-16
4.05110e-03 1.829E-16
4.06810e-03 1.99751E-16
4.08610e-03 2.19155E-16
