#ZVView-data-copy:  30-Mar-2021 21:02:43
#=======================================
#
#name:   ENDF/B-VIII.0: HE-3(T,D`)HE-4-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  254
#data...
#            X            Y
#          MeV        barns
      0.154103   0.00116513 
      0.164781   0.00143211 
      0.168461   0.00152919 
      0.174135   0.00168727 
          0.18    0.0018617 
      0.184804   0.00199989 
      0.192252   0.00222664 
      0.202397   0.00255413 
      0.212276   0.00287764 
          0.22    0.0031469 
      0.229783   0.00348029 
          0.24     0.003849 
        0.2498   0.00419491 
      0.264862   0.00474493 
           0.3    0.0060374 
      0.324037   0.00687653 
          0.35    0.0078323 
      0.386867   0.00907172 
           0.4     0.009527 
          0.45     0.011095 
           0.5     0.012532 
          0.55     0.013842 
           0.6     0.015034 
           0.7     0.017106 
           0.8     0.018819 
           0.9      0.02023 
             1     0.021385 
           1.1     0.022314 
           1.2     0.023047 
           1.3     0.023606 
           1.4     0.024014 
           1.5     0.024289 
           1.6      0.02445 
           1.7     0.024515 
       1.84932     0.024461 
             2     0.024289 
       2.24944    0.0238022 
       2.86633    0.0223357 
             3     0.022052 
           3.5     0.021283 
             4      0.02174 
             5     0.022958 
             6     0.024251 
             9     0.028262 
       10.4881    0.0301246 
       11.4891    0.0312559 
         12.49    0.0322532 
            13     0.032717 
            14     0.033457 
            15     0.033983 
            16     0.034263 
            17     0.034265 
            18     0.033956 
            19     0.033305 
            20      0.03228 
//
#-------------------------------------------------------------------------------
